id,name,shortcut,prefix,suffix
company_type_1,ห้างหุ้นส่วนสามัญนิติบุคคล,หสน.,ห้างหุ้นส่วนสามัญนิติบุคคล,
company_type_2,ห้างหุ้นส่วนจำกัด,หจก.,ห้างหุ้นส่วนจำกัด,
company_type_3,บริษัทจำกัด,บจก.,บริษัท,จำกัด
company_type_4,บริษัทมหาชนจำกัด,บมจ.,บริษัท,จำกัด (มหาชน)
company_type_5,สหกรณ์,สหกรณ์,สหกรณ์,
company_type_6,สหกรณ์จำกัด,สหกรณ์จำกัด,สหกรณ์,จำกัด
company_type_7,มูลนิธิ,มูลนิธิ,มูลนิธิ,
