id,bank_id/id,sequence,name,display_type,lenght,match_group,need_loop,sub_loop,sub_value_loop,end_line,condition_line,value_type,value_alignment,value_blank_space,value
ttb_format_transaction_32,l10n_th_bank_payment_export_ttb.ttb_h2h,41,"DD Sameday, DC Sameday, SMART Sameday, Posting Interval",,5,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_33,l10n_th_bank_payment_export_ttb.ttb_h2h,42,Comp ID,,4,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_34,l10n_th_bank_payment_export_ttb.ttb_h2h,43,Document(s) Required,,30,line,TRUE,,,,,dynamic,ljust,,"rec.ttb_document_required or """""
ttb_format_transaction_35,l10n_th_bank_payment_export_ttb.ttb_h2h,44,Payment Details,,105,line,TRUE,,,,,dynamic,ljust,,"rec.ttb_payment_details or """""
ttb_format_transaction_36,l10n_th_bank_payment_export_ttb.ttb_h2h,45,Beneficiary Bank Name,,70,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_37,l10n_th_bank_payment_export_ttb.ttb_h2h,46,Beneficiary Bank Address1,,40,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_38,l10n_th_bank_payment_export_ttb.ttb_h2h,47,Beneficiary Bank Address2,,40,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_39,l10n_th_bank_payment_export_ttb.ttb_h2h,48,Beneficiary Bank Address3,,40,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_40,l10n_th_bank_payment_export_ttb.ttb_h2h,49,Beneficiary Bank Address4,,40,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_41,l10n_th_bank_payment_export_ttb.ttb_h2h,50,FX Rate Contract No.,,16,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_42,l10n_th_bank_payment_export_ttb.ttb_h2h,51,TMB Cheque Number,,7,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_43,l10n_th_bank_payment_export_ttb.ttb_h2h,52,Status,,2,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_44,l10n_th_bank_payment_export_ttb.ttb_h2h,53,SMART Comp ID,,15,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_45,l10n_th_bank_payment_export_ttb.ttb_h2h,54,New TMB Cheque Number ,,16,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_46,l10n_th_bank_payment_export_ttb.ttb_h2h,55,Error Code,,10,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_47,l10n_th_bank_payment_export_ttb.ttb_h2h,56,Reason,,100,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_48,l10n_th_bank_payment_export_ttb.ttb_h2h,57,Batch Reference Number,,16,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_49,l10n_th_bank_payment_export_ttb.ttb_h2h,58,Transaction Reference Number,,17,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_50,l10n_th_bank_payment_export_ttb.ttb_h2h,59,Payer Proxy Type,,10,line,TRUE,,,,,dynamic,ljust,,"rec.ttb_transaction_type in [""PBS"", ""PBN""] and rec.company_id.partner_id.ttb_proxy_type or """""
ttb_format_transaction_51,l10n_th_bank_payment_export_ttb.ttb_h2h,60,Payer Proxy Value,,100,line,TRUE,,,,,dynamic,ljust,,"rec.ttb_transaction_type in [""PBS"", ""PBN""] and rec.company_id.partner_id.ttb_proxy_value or """""
ttb_format_transaction_52,l10n_th_bank_payment_export_ttb.ttb_h2h,61,Payee Proxy Type,,10,line,TRUE,,,,,dynamic,ljust,,"rec.ttb_transaction_type in [""PBS"", ""PBN""] and line.payment_partner_id.ttb_proxy_type or """""
ttb_format_transaction_53,l10n_th_bank_payment_export_ttb.ttb_h2h,62,Payee Proxy Value,,100,line,TRUE,,,,,dynamic,ljust,,"rec.ttb_transaction_type in [""PBS"", ""PBN""] and line.payment_partner_id.ttb_proxy_value or """""
ttb_format_transaction_54,l10n_th_bank_payment_export_ttb.ttb_h2h,63,Collector ID Card No 1,,20,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_55,l10n_th_bank_payment_export_ttb.ttb_h2h,64,Collector name 1,,100,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_56,l10n_th_bank_payment_export_ttb.ttb_h2h,65,Collector company name 1,,130,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_57,l10n_th_bank_payment_export_ttb.ttb_h2h,66,Collector ID Card No 2,,20,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_58,l10n_th_bank_payment_export_ttb.ttb_h2h,67,Collector name 2,,100,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_59,l10n_th_bank_payment_export_ttb.ttb_h2h,68,Collector company name 2,,130,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_60,l10n_th_bank_payment_export_ttb.ttb_h2h,69,Collector ID Card No 3,,20,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_61,l10n_th_bank_payment_export_ttb.ttb_h2h,70,Collector name 3,,100,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_62,l10n_th_bank_payment_export_ttb.ttb_h2h,71,Collector company name 3,,130,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_63,l10n_th_bank_payment_export_ttb.ttb_h2h,72,Cheque Status,,15,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_64,l10n_th_bank_payment_export_ttb.ttb_h2h,73,Cheque Released Date,,8,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_65,l10n_th_bank_payment_export_ttb.ttb_h2h,74,Cheque Paid Date,,8,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_66,l10n_th_bank_payment_export_ttb.ttb_h2h,75,Cheque Expired/Hold/Cancelled/Stopped/Returned Date,,8,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_67,l10n_th_bank_payment_export_ttb.ttb_h2h,76,TBANK Reference,,21,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_68,l10n_th_bank_payment_export_ttb.ttb_h2h,77,PA Code for Payroll,,4,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_69,l10n_th_bank_payment_export_ttb.ttb_h2h,78,Smart Infra Flag,,4,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_70,l10n_th_bank_payment_export_ttb.ttb_h2h,79,Filler,,70,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_71,l10n_th_bank_payment_export_ttb.ttb_h2h,80,End of Record Indicator,,3,line,TRUE,,,TRUE,,fixed,ljust,,END
ttb_format_transaction_72,l10n_th_bank_payment_export_ttb.ttb_h2h,81,WHT ,line_section,,,,,,,,fixed,ljust,,
ttb_format_transaction_73,l10n_th_bank_payment_export_ttb.ttb_h2h,82,Record Identifier,,3,line,TRUE,,,,wht_cert,fixed,ljust,,WHT
ttb_format_transaction_74,l10n_th_bank_payment_export_ttb.ttb_h2h,83,Beneficiary's Tax ID/ID Card No.,,13,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[:1].partner_vat or """""
ttb_format_transaction_75,l10n_th_bank_payment_export_ttb.ttb_h2h,84,WHT Payer's Tax ID,,13,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[:1].company_vat or """""
ttb_format_transaction_76,l10n_th_bank_payment_export_ttb.ttb_h2h,85,WHT Type (Cert. Form #1),,2,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[:1].income_tax_form == ""pnd1"" and ""01"" or (wht_cert[:1].income_tax_form == ""pnd2"" and ""02"") or (wht_cert[:1].income_tax_form == ""pnd3"" and ""03"") or (wht_cert[:1].income_tax_form == ""pnd3a"" and ""3A"") or (wht_cert[:1].income_tax_form == ""pnd53"" and ""53"")"
ttb_format_transaction_77,l10n_th_bank_payment_export_ttb.ttb_h2h,86,Taxable Amount 1,,15,line,TRUE,,,,wht_cert,dynamic,rjust,,"wht_cert[:1].wht_line[:1] and str(""{:.2f}"".format(wht_cert[:1].wht_line[:1].base)) or """""
ttb_format_transaction_78,l10n_th_bank_payment_export_ttb.ttb_h2h,87,Tax Type 1,,2,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[:1].wht_line[:1] and rec._get_ttb_wht_type_code(wht_cert[:1].wht_line[:1]) or """""
ttb_format_transaction_79,l10n_th_bank_payment_export_ttb.ttb_h2h,88,Tax Type Description 1,,35,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[:1].wht_line[:1] and wht_cert[:1].wht_line[:1].wht_cert_income_desc[:35] or """""
ttb_format_transaction_80,l10n_th_bank_payment_export_ttb.ttb_h2h,89,Tax Rate 1,,5,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[:1].wht_line[:1] and str(""{:.2f}"".format(wht_cert[:1].wht_line[:1].wht_percent / 100)) or """""
ttb_format_transaction_81,l10n_th_bank_payment_export_ttb.ttb_h2h,90,Tax Amount 1,,15,line,TRUE,,,,wht_cert,dynamic,rjust,,"wht_cert[:1].wht_line[:1] and str(""{:.2f}"".format(wht_cert[:1].wht_line[:1].amount)) or """""
ttb_format_transaction_82,l10n_th_bank_payment_export_ttb.ttb_h2h,91,Taxable Amount 2,,15,line,TRUE,,,,wht_cert,dynamic,rjust,,"wht_cert[:1].wht_line[1:2] and str(""{:.2f}"".format(wht_cert[:1].wht_line[1:2].base)) or """""
ttb_format_transaction_83,l10n_th_bank_payment_export_ttb.ttb_h2h,92,Tax Type 2,,2,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[:1].wht_line[1:2] and rec._get_ttb_wht_type_code(wht_cert[:1].wht_line[1:2]) or """""
ttb_format_transaction_84,l10n_th_bank_payment_export_ttb.ttb_h2h,93,Tax Type Description 2,,35,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[:1].wht_line[1:2] and wht_cert[:1].wht_line[1:2].wht_cert_income_desc[:35] or """""
ttb_format_transaction_85,l10n_th_bank_payment_export_ttb.ttb_h2h,94,Tax Rate 2,,5,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[:1].wht_line[1:2] and str(""{:.2f}"".format(wht_cert[:1].wht_line[1:2].wht_percent / 100)) or """""
ttb_format_transaction_86,l10n_th_bank_payment_export_ttb.ttb_h2h,95,Tax Amount 2,,15,line,TRUE,,,,wht_cert,dynamic,rjust,,"wht_cert[:1].wht_line[1:2] and str(""{:.2f}"".format(wht_cert[:1].wht_line[1:2].amount)) or """""
ttb_format_transaction_87,l10n_th_bank_payment_export_ttb.ttb_h2h,96,Taxable Amount 3,,15,line,TRUE,,,,wht_cert,dynamic,rjust,,"wht_cert[:1].wht_line[2:3] and str(""{:.2f}"".format(wht_cert[:1].wht_line[2:3].base)) or """""
ttb_format_transaction_88,l10n_th_bank_payment_export_ttb.ttb_h2h,97,Tax Type 3,,2,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[:1].wht_line[2:3] and rec._get_ttb_wht_type_code(wht_cert[:1].wht_line[2:3]) or """""
ttb_format_transaction_89,l10n_th_bank_payment_export_ttb.ttb_h2h,98,Tax Type Description 3,,35,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[:1].wht_line[2:3] and wht_cert[:1].wht_line[2:3].wht_cert_income_desc[:35] or """""
ttb_format_transaction_90,l10n_th_bank_payment_export_ttb.ttb_h2h,99,Tax Rate 3,,5,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[:1].wht_line[2:3] and str(""{:.2f}"".format(wht_cert[:1].wht_line[2:3].wht_percent / 100)) or """""
ttb_format_transaction_91,l10n_th_bank_payment_export_ttb.ttb_h2h,100,Tax Amount 3,,15,line,TRUE,,,,wht_cert,dynamic,rjust,,"wht_cert[:1].wht_line[2:3] and str(""{:.2f}"".format(wht_cert[:1].wht_line[2:3].amount)) or """""
ttb_format_transaction_92,l10n_th_bank_payment_export_ttb.ttb_h2h,101,Taxable Amount 4,,15,line,TRUE,,,,wht_cert,dynamic,rjust,,"wht_cert[:1].wht_line[3:4] and str(""{:.2f}"".format(wht_cert[:1].wht_line[3:4].base)) or """""
ttb_format_transaction_93,l10n_th_bank_payment_export_ttb.ttb_h2h,102,Tax Type 4,,2,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[:1].wht_line[3:4] and rec._get_ttb_wht_type_code(wht_cert[:1].wht_line[3:4]) or """""
ttb_format_transaction_94,l10n_th_bank_payment_export_ttb.ttb_h2h,103,Tax Type Description 4,,35,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[:1].wht_line[3:4] and wht_cert[:1].wht_line[3:4].wht_cert_income_desc[:35] or """""
ttb_format_transaction_95,l10n_th_bank_payment_export_ttb.ttb_h2h,104,Tax Rate 4,,5,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[:1].wht_line[3:4] and str(""{:.2f}"".format(wht_cert[:1].wht_line[3:4].wht_percent / 100)) or """""
ttb_format_transaction_96,l10n_th_bank_payment_export_ttb.ttb_h2h,105,Tax Amount 4,,15,line,TRUE,,,,wht_cert,dynamic,rjust,,"wht_cert[:1].wht_line[3:4] and str(""{:.2f}"".format(wht_cert[:1].wht_line[3:4].amount)) or """""
ttb_format_transaction_97,l10n_th_bank_payment_export_ttb.ttb_h2h,106,WHT Payer Name,,120,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[:1].company_partner_id.name or """""
ttb_format_transaction_98,l10n_th_bank_payment_export_ttb.ttb_h2h,107,WHT Payer Address1 – 4,,160,line,TRUE,,,,wht_cert,dynamic,ljust,,"rec._get_address(wht_cert[:1].company_partner_id, 160)"
ttb_format_transaction_99,l10n_th_bank_payment_export_ttb.ttb_h2h,108,WHT Payee Name,,120,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[:1].partner_id.name or """""
ttb_format_transaction_100,l10n_th_bank_payment_export_ttb.ttb_h2h,109,WHT Payee Address1 – 4,,160,line,TRUE,,,,wht_cert,dynamic,ljust,,"rec._get_address(wht_cert[:1].partner_id, 160)"
ttb_format_transaction_101,l10n_th_bank_payment_export_ttb.ttb_h2h,110,WHT Document No.,,20,line,TRUE,,,,wht_cert,fixed,ljust,,
ttb_format_transaction_102,l10n_th_bank_payment_export_ttb.ttb_h2h,111,WHT Attach No.,,20,line,TRUE,,,,wht_cert,fixed,ljust,,
ttb_format_transaction_103,l10n_th_bank_payment_export_ttb.ttb_h2h,112,WHT Condition Code,,1,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[:1].tax_payer == ""withholding"" and ""3"" or (wht_cert[:1].tax_payer == ""paid_one_time"" and ""1"") or (wht_cert[:1].tax_payer == ""paid_continue"" and ""2"")"
ttb_format_transaction_104,l10n_th_bank_payment_export_ttb.ttb_h2h,113,WHT Condition Code Desc,,70,line,TRUE,,,,wht_cert,fixed,ljust,,
ttb_format_transaction_105,l10n_th_bank_payment_export_ttb.ttb_h2h,114,Beneficiary's Tax ID/ID Card No. (Set 2),,13,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[1:2].partner_vat or """""
ttb_format_transaction_106,l10n_th_bank_payment_export_ttb.ttb_h2h,115,WHT Payer's Tax ID,,13,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[1:2].company_vat or """""
ttb_format_transaction_107,l10n_th_bank_payment_export_ttb.ttb_h2h,116,WHT Type (Form 2.),,2,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[1:2].income_tax_form == ""pnd1"" and ""01"" or (wht_cert[1:2].income_tax_form == ""pnd2"" and ""02"") or (wht_cert[1:2].income_tax_form == ""pnd3"" and ""03"") or (wht_cert[1:2].income_tax_form == ""pnd3a"" and ""3A"") or (wht_cert[1:2].income_tax_form == ""pnd53"" and ""53"") or """""
ttb_format_transaction_108,l10n_th_bank_payment_export_ttb.ttb_h2h,117,Taxable Amount 1,,15,line,TRUE,,,,wht_cert,dynamic,rjust,,"wht_cert[1:2].wht_line[:1] and str(""{:.2f}"".format(wht_cert[1:2].wht_line[:1].base)) or """""
ttb_format_transaction_109,l10n_th_bank_payment_export_ttb.ttb_h2h,118,Tax Type 1,,2,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[1:2].wht_line[:1] and rec._get_ttb_wht_type_code(wht_cert[1:2].wht_line[:1]) or """""
ttb_format_transaction_110,l10n_th_bank_payment_export_ttb.ttb_h2h,119,Tax Type Description 1,,35,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[1:2].wht_line[:1] and wht_cert[1:2].wht_line[:1].wht_cert_income_desc[:35] or """""
ttb_format_transaction_111,l10n_th_bank_payment_export_ttb.ttb_h2h,120,Tax Rate 1,,5,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[1:2].wht_line[:1] and str(""{:.2f}"".format(wht_cert[1:2].wht_line[:1].wht_percent / 100)) or """""
ttb_format_transaction_112,l10n_th_bank_payment_export_ttb.ttb_h2h,121,Tax Amount 1,,15,line,TRUE,,,,wht_cert,dynamic,rjust,,"wht_cert[1:2].wht_line[:1] and str(""{:.2f}"".format(wht_cert[1:2].wht_line[:1].amount)) or """""
ttb_format_transaction_113,l10n_th_bank_payment_export_ttb.ttb_h2h,122,Taxable Amount 2,,15,line,TRUE,,,,wht_cert,dynamic,rjust,,"wht_cert[1:2].wht_line[1:2] and str(""{:.2f}"".format(wht_cert[1:2].wht_line[1:2].base)) or """""
ttb_format_transaction_114,l10n_th_bank_payment_export_ttb.ttb_h2h,123,Tax Type 2,,2,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[1:2].wht_line[1:2] and rec._get_ttb_wht_type_code(wht_cert[1:2].wht_line[1:2]) or """""
ttb_format_transaction_115,l10n_th_bank_payment_export_ttb.ttb_h2h,124,Tax Type Description 2,,35,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[1:2].wht_line[1:2] and wht_cert[1:2].wht_line[1:2].wht_cert_income_desc[:35] or """""
ttb_format_transaction_116,l10n_th_bank_payment_export_ttb.ttb_h2h,125,Tax Rate 2,,5,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[1:2].wht_line[1:2] and str(""{:.2f}"".format(wht_cert[1:2].wht_line[1:2].wht_percent / 100)) or """""
ttb_format_transaction_117,l10n_th_bank_payment_export_ttb.ttb_h2h,126,Tax Amount 2,,15,line,TRUE,,,,wht_cert,dynamic,rjust,,"wht_cert[1:2].wht_line[1:2] and str(""{:.2f}"".format(wht_cert[1:2].wht_line[1:2].amount)) or """""
ttb_format_transaction_118,l10n_th_bank_payment_export_ttb.ttb_h2h,127,Taxable Amount 3,,15,line,TRUE,,,,wht_cert,dynamic,rjust,,"wht_cert[1:2].wht_line[2:3] and str(""{:.2f}"".format(wht_cert[1:2].wht_line[2:3].base)) or """""
ttb_format_transaction_119,l10n_th_bank_payment_export_ttb.ttb_h2h,128,Tax Type 3,,2,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[1:2].wht_line[2:3] and rec._get_ttb_wht_type_code(wht_cert[1:2].wht_line[2:3]) or """""
ttb_format_transaction_120,l10n_th_bank_payment_export_ttb.ttb_h2h,129,Tax Type Description 3,,35,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[1:2].wht_line[2:3] and wht_cert[1:2].wht_line[2:3].wht_cert_income_desc[:35] or """""
ttb_format_transaction_121,l10n_th_bank_payment_export_ttb.ttb_h2h,130,Tax Rate 3,,5,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[1:2].wht_line[2:3] and str(""{:.2f}"".format(wht_cert[1:2].wht_line[2:3].wht_percent / 100)) or """""
ttb_format_transaction_122,l10n_th_bank_payment_export_ttb.ttb_h2h,131,Tax Amount 3,,15,line,TRUE,,,,wht_cert,dynamic,rjust,,"wht_cert[1:2].wht_line[2:3] and str(""{:.2f}"".format(wht_cert[1:2].wht_line[2:3].amount)) or """""
ttb_format_transaction_123,l10n_th_bank_payment_export_ttb.ttb_h2h,132,Taxable Amount 4,,15,line,TRUE,,,,wht_cert,dynamic,rjust,,"wht_cert[1:2].wht_line[3:4] and str(""{:.2f}"".format(wht_cert[1:2].wht_line[3:4].base)) or """""
ttb_format_transaction_124,l10n_th_bank_payment_export_ttb.ttb_h2h,133,Tax Type 4,,2,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[1:2].wht_line[3:4] and rec._get_ttb_wht_type_code(wht_cert[1:2].wht_line[3:4]) or """""
ttb_format_transaction_125,l10n_th_bank_payment_export_ttb.ttb_h2h,134,Tax Type Description 4,,35,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[1:2].wht_line[3:4] and wht_cert[1:2].wht_line[3:4].wht_cert_income_desc[:35] or """""
ttb_format_transaction_126,l10n_th_bank_payment_export_ttb.ttb_h2h,135,Tax Rate 4,,5,line,TRUE,,,,wht_cert,dynamic,ljust,,"wht_cert[1:2].wht_line[3:4] and str(""{:.2f}"".format(wht_cert[1:2].wht_line[3:4].wht_percent / 100)) or """""
