id,bank_id/id,sequence,name,display_type,lenght,match_group,need_loop,sub_loop,sub_value_loop,end_line,condition_line,value_type,value_alignment,value_blank_space,value
ttb_format_transaction_01,l10n_th_bank_payment_export_ttb.ttb_h2h,10,Transaction ,line_section,,,,,,,,fixed,ljust,,
ttb_format_transaction_02,l10n_th_bank_payment_export_ttb.ttb_h2h,11,Record Identifier,,3,line,TRUE,,,,,fixed,ljust,,TXN
ttb_format_transaction_03,l10n_th_bank_payment_export_ttb.ttb_h2h,12,Payer Name (On behalf of),,120,line,TRUE,,,,,dynamic,ljust,,rec.company_id.partner_id.display_name
ttb_format_transaction_04,l10n_th_bank_payment_export_ttb.ttb_h2h,13,Beneficiary Name ,,130,line,TRUE,,,,"rec.ttb_transaction_type != ""BNT""",dynamic,ljust,,"rec.ttb_transaction_type in (""MCP"", ""COP"") and line.payment_id.check_payee or line.payment_partner_bank_id.acc_holder_name or line.payment_partner_bank_id.partner_id.display_name"
ttb_format_transaction_05,l10n_th_bank_payment_export_ttb.ttb_h2h,14,Beneficiary Name ,,130,line,TRUE,,,,"rec.ttb_transaction_type == ""BNT""",dynamic,ljust,,"line.payment_partner_bank_id.acc_holder_name_en or ""**Account Holder Name (EN) is not data**"""
ttb_format_transaction_06,l10n_th_bank_payment_export_ttb.ttb_h2h,15,Mail to Name,,40,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_07,l10n_th_bank_payment_export_ttb.ttb_h2h,16,Beneficiary Address 1 – 4,,160,line,TRUE,,,,"rec.ttb_transaction_type != ""BNT""",dynamic,ljust,,"rec._get_address(line.payment_partner_id, 160)"
ttb_format_transaction_08,l10n_th_bank_payment_export_ttb.ttb_h2h,17,Beneficiary Address 1 – 4,,160,line,TRUE,,,,"rec.ttb_transaction_type == ""BNT""",dynamic,ljust,,"line.payment_partner_id.street3[:160] or ""**Address (EN) is not data**"""
ttb_format_transaction_09,l10n_th_bank_payment_export_ttb.ttb_h2h,18,Filler,,10,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_10,l10n_th_bank_payment_export_ttb.ttb_h2h,19,Customer Reference,,16,line,TRUE,,,,,dynamic,ljust,,line.payment_id.name
ttb_format_transaction_11,l10n_th_bank_payment_export_ttb.ttb_h2h,20,Effective Date,,8,line,TRUE,,,,,dynamic,ljust,,"rec.effective_date.strftime(""%d%m%Y"")"
ttb_format_transaction_12,l10n_th_bank_payment_export_ttb.ttb_h2h,21,Pickup Date,,8,line,TRUE,,,,,dynamic,ljust,,"rec.effective_date.strftime(""%d%m%Y"")"
ttb_format_transaction_13,l10n_th_bank_payment_export_ttb.ttb_h2h,22,Payment Currency,,3,line,TRUE,,,,,dynamic,ljust,,line.currency_id.name
ttb_format_transaction_14,l10n_th_bank_payment_export_ttb.ttb_h2h,23,Comcode(4)+Business area(4)+Fisical year(4),,15,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_15,l10n_th_bank_payment_export_ttb.ttb_h2h,24,Run Date + Identification (15),,15,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_16,l10n_th_bank_payment_export_ttb.ttb_h2h,25,Vendor Code or ID,,20,line,TRUE,,,,,fixed,ljust,,
ttb_format_transaction_17,l10n_th_bank_payment_export_ttb.ttb_h2h,26,Debit Account Number,,20,line,TRUE,,,,,dynamic,ljust,,str(0) + line.sanitize_account_number(line.payment_journal_id.bank_account_id.acc_number)[:10]
ttb_format_transaction_18,l10n_th_bank_payment_export_ttb.ttb_h2h,27,Payment Amount,,15,line,TRUE,,,,,dynamic,rjust,,"str(""{:.2f}"".format(line.payment_amount))"
ttb_format_transaction_19,l10n_th_bank_payment_export_ttb.ttb_h2h,28,Beneficiary Bank Code / SWIFT Code,,3,line,TRUE,,,,,dynamic,ljust,,line.payment_bank_id.bank_code
ttb_format_transaction_20,l10n_th_bank_payment_export_ttb.ttb_h2h,29,Beneficiary Bank Branch Code / SWIFT Code,,13,line,TRUE,,,,,dynamic,ljust,,line.payment_bank_id.bank_branch_code
ttb_format_transaction_21,l10n_th_bank_payment_export_ttb.ttb_h2h,30,Beneficiary's Account Number,,20,line,TRUE,,,,,dynamic,ljust,,"rec.ttb_transaction_type not in (""MCP"", ""COP"") and line._get_acc_number_digit(line.payment_partner_bank_id) or """""
ttb_format_transaction_22,l10n_th_bank_payment_export_ttb.ttb_h2h,31,"Transaction Code for ""SMART""",,2,line,TRUE,,,,,dynamic,ljust,,"rec.ttb_transaction_type not in (""MCP"", ""COP"") and rec.ttb_transaction_code or """""
ttb_format_transaction_23,l10n_th_bank_payment_export_ttb.ttb_h2h,32,"Objective Code for ""Bahtnet""",,2,line,TRUE,,,,,dynamic,ljust,,"rec.ttb_transaction_type == ""BNT"" and ""00"" or """""
ttb_format_transaction_24,l10n_th_bank_payment_export_ttb.ttb_h2h,33,"Delivery Method - (For Cheques), WHT Delivery Method - (For all domestic transfer)",,2,line,TRUE,,,,,dynamic,ljust,,"rec.ttb_transaction_type in (""MCP"", ""COP"") and rec.ttb_delivery_method or """""
ttb_format_transaction_25,l10n_th_bank_payment_export_ttb.ttb_h2h,34,Pickup Location,,20,line,TRUE,,,,,dynamic,ljust,,"rec.ttb_delivery_method in (""OC"", ""RT"") and rec.ttb_pickup_location or """""
ttb_format_transaction_26,l10n_th_bank_payment_export_ttb.ttb_h2h,35,Advise Mode,,5,line,TRUE,,,,,dynamic,ljust,,"line.payment_partner_id.ttb_advise_mode or """""
ttb_format_transaction_27,l10n_th_bank_payment_export_ttb.ttb_h2h,36,Beneficiary's Fax Number,,50,line,TRUE,,,,,dynamic,ljust,,"line.payment_partner_id.ttb_advise_mode == ""FAX"" and line.payment_partner_id.ttb_fax or """""
ttb_format_transaction_28,l10n_th_bank_payment_export_ttb.ttb_h2h,37,Beneficiary's Email Address,,50,line,TRUE,,,,,dynamic,ljust,,"line.payment_partner_id.ttb_advise_mode == ""EMAIL"" and line.payment_partner_id.ttb_email or """""
ttb_format_transaction_29,l10n_th_bank_payment_export_ttb.ttb_h2h,38,Beneficiary's Mobile Number,,50,line,TRUE,,,,,dynamic,ljust,,"line.payment_partner_id.ttb_advise_mode == ""SMS"" and line.payment_partner_id.ttb_sms or """""
ttb_format_transaction_30,l10n_th_bank_payment_export_ttb.ttb_h2h,39,Charge On Account of,,13,line,TRUE,,,,,dynamic,ljust,,"line.payment_partner_id.ttb_fee_charge or """""
ttb_format_transaction_31,l10n_th_bank_payment_export_ttb.ttb_h2h,40,Transaction Type,,3,line,TRUE,,,,,dynamic,ljust,,rec.ttb_transaction_type
