id,name,code,zipcode,country_id/id,state_id/id
base.city_1001,Phra Nakhon,1001,,base.th,base.state_th_001
base.city_1002,Dusit,1002,,base.th,base.state_th_001
base.city_1003,Nong Chok,1003,,base.th,base.state_th_001
base.city_1004,Bang Rak,1004,,base.th,base.state_th_001
base.city_1005,Bang Khen,1005,,base.th,base.state_th_001
base.city_1006,Bang Kapi,1006,,base.th,base.state_th_001
base.city_1007,Pathum Wan,1007,,base.th,base.state_th_001
base.city_1008,Pom Prap Sattru Phai,1008,,base.th,base.state_th_001
base.city_1009,Phra Khanong,1009,,base.th,base.state_th_001
base.city_1010,Min Buri,1010,,base.th,base.state_th_001
base.city_1011,Lat Krabang,1011,,base.th,base.state_th_001
base.city_1012,Yan Nawa,1012,,base.th,base.state_th_001
base.city_1013,Samphanthawong,1013,,base.th,base.state_th_001
base.city_1014,Phaya Thai,1014,,base.th,base.state_th_001
base.city_1015,Thon Buri,1015,,base.th,base.state_th_001
base.city_1016,Bangkok Yai,1016,,base.th,base.state_th_001
base.city_1017,Huai Khwang,1017,,base.th,base.state_th_001
base.city_1018,Khlong San,1018,,base.th,base.state_th_001
base.city_1019,Taling Chan,1019,,base.th,base.state_th_001
base.city_1020,Bangkok Noi,1020,,base.th,base.state_th_001
base.city_1021,Bang Khun Thian,1021,,base.th,base.state_th_001
base.city_1022,Phasi Charoen,1022,,base.th,base.state_th_001
base.city_1023,Nong Khaem,1023,,base.th,base.state_th_001
base.city_1024,Rat Burana,1024,,base.th,base.state_th_001
base.city_1025,Bang Phlat,1025,,base.th,base.state_th_001
base.city_1026,Din Daeng,1026,,base.th,base.state_th_001
base.city_1027,Bueng Kum,1027,,base.th,base.state_th_001
base.city_1028,Sathon,1028,,base.th,base.state_th_001
base.city_1029,Bang Sue,1029,,base.th,base.state_th_001
base.city_1030,Chatuchak,1030,,base.th,base.state_th_001
base.city_1031,Bang Kho Laem,1031,,base.th,base.state_th_001
base.city_1032,Prawet,1032,,base.th,base.state_th_001
base.city_1033,Khlong Toei,1033,,base.th,base.state_th_001
base.city_1034,Suan Luang,1034,,base.th,base.state_th_001
base.city_1035,Chom Thong,1035,,base.th,base.state_th_001
base.city_1036,Don Mueang,1036,,base.th,base.state_th_001
base.city_1037,Ratchathewi,1037,,base.th,base.state_th_001
base.city_1038,Lat Phrao,1038,,base.th,base.state_th_001
base.city_1039,Vadhana,1039,,base.th,base.state_th_001
base.city_1040,Bang Khae,1040,,base.th,base.state_th_001
