id,name,code,city_id/id,zipcode
base.subdistrict_102801,Thung Wat Don,102801,base.city_1028,
base.subdistrict_102802,Yan Nawa,102802,base.city_1028,
base.subdistrict_102803,Thung Maha Mek,102803,base.city_1028,
base.subdistrict_102901,Bang Sue,102901,base.city_1029,
base.subdistrict_102902,Wong Sawang,102902,base.city_1029,
base.subdistrict_103001,Lat Yao,103001,base.city_1030,
base.subdistrict_103002,Sena Nikhom,103002,base.city_1030,
base.subdistrict_103003,Chan Kasem,103003,base.city_1030,
base.subdistrict_103004,Chom Phon,103004,base.city_1030,
base.subdistrict_103005,Chatuchak,103005,base.city_1030,
base.subdistrict_103101,Bang Kho Laem,103101,base.city_1031,
base.subdistrict_103102,Wat Phraya Krai,103102,base.city_1031,
base.subdistrict_103103,Bang Khlo,103103,base.city_1031,
base.subdistrict_103201,Prawet,103201,base.city_1032,
base.subdistrict_103202,Nong Bon,103202,base.city_1032,
base.subdistrict_103203,Dok Mai,103203,base.city_1032,
base.subdistrict_103301,Khlong Toei,103301,base.city_1033,
base.subdistrict_103302,Khlong Tan,103302,base.city_1033,
base.subdistrict_103303,Phra Khanong,103303,base.city_1033,
base.subdistrict_103401,Suan Luang,103401,base.city_1034,
base.subdistrict_103402,On Nut,103402,base.city_1034,
base.subdistrict_103403,Phatthanakan,103403,base.city_1034,
base.subdistrict_103501,Bang Khun Thian,103501,base.city_1035,
base.subdistrict_103502,Bang Kho,103502,base.city_1035,
base.subdistrict_103503,Bang Mot,103503,base.city_1035,
base.subdistrict_103504,Chom Thong,103504,base.city_1035,
base.subdistrict_103602,Si Kan,103602,base.city_1036,
base.subdistrict_103604,Don Mueang,103604,base.city_1036,
base.subdistrict_103605,Sanam Bin,103605,base.city_1036,
base.subdistrict_103701,Thung Phaya Thai,103701,base.city_1037,
base.subdistrict_103702,Thanon Phaya Thai,103702,base.city_1037,
base.subdistrict_103703,Thanon Phetchaburi,103703,base.city_1037,
base.subdistrict_103704,Makkasan,103704,base.city_1037,
base.subdistrict_103801,Lat Phrao,103801,base.city_1038,
base.subdistrict_103802,Chorakhe Bua,103802,base.city_1038,
base.subdistrict_103901,Khlong Toei Nuea,103901,base.city_1039,
base.subdistrict_103902,Khlong Tan Nuea,103902,base.city_1039,
base.subdistrict_103903,Phra Khanong Nuea,103903,base.city_1039,
base.subdistrict_104001,Bang Khae,104001,base.city_1040,
base.subdistrict_104002,Bang Khae Nuea,104002,base.city_1040,
base.subdistrict_104003,Bang Phai,104003,base.city_1040,
base.subdistrict_104004,Lak Song,104004,base.city_1040,
base.subdistrict_104101,Thung Song Hong,104101,base.city_1041,
base.subdistrict_104102,Talat Bang Khen,104102,base.city_1041,
base.subdistrict_104201,Sai Mai,104201,base.city_1042,
base.subdistrict_104202,O Ngoen,104202,base.city_1042,
base.subdistrict_104203,Khlong Thanon,104203,base.city_1042,
base.subdistrict_104301,Khan Na Yao,104301,base.city_1043,
base.subdistrict_104302,Ram Inthra,104302,base.city_1043,
base.subdistrict_104401,Saphan Sung,104401,base.city_1044,
base.subdistrict_104402,Rat Phatthana,104402,base.city_1044,
base.subdistrict_104403,Thap Chang,104403,base.city_1044,
base.subdistrict_104501,Wang Thonglang,104501,base.city_1045,
base.subdistrict_104502,Saphan Song,104502,base.city_1045,
base.subdistrict_104503,Khlong Chao Khun Sing,104503,base.city_1045,
base.subdistrict_104504,Phlapphla,104504,base.city_1045,
base.subdistrict_104601,Sam Wa Tawan Tok,104601,base.city_1046,
base.subdistrict_104602,Sam Wa Tawan Ok,104602,base.city_1046,
base.subdistrict_104603,Bang Chan,104603,base.city_1046,
base.subdistrict_104604,Sai Kong Din,104604,base.city_1046,
base.subdistrict_104605,Sai Kong Din Tai,104605,base.city_1046,
base.subdistrict_104702,Bang Na Nuea,104702,base.city_1047,
base.subdistrict_104703,Bang Na Tai,104703,base.city_1047,
base.subdistrict_104801,Thawi Watthana,104801,base.city_1048,
base.subdistrict_104802,Sala Thammasop,104802,base.city_1048,
base.subdistrict_104901,Bang Mot,104901,base.city_1049,
base.subdistrict_104902,Thung Khru,104902,base.city_1049,
base.subdistrict_105002,Bang Bon Nuea,105002,base.city_1050,
base.subdistrict_105003,Bang Bon Tai,105003,base.city_1050,
base.subdistrict_105004,Khlong Bang Phran,105004,base.city_1050,
base.subdistrict_105005,Khlong Bang Bon,105005,base.city_1050,
